id,createdAt,text,source,latitude,longitude,userId,name,party,0
5.91E+17,Tue Apr 21 18:47:25 PDT 2015,Thought for the day: If Hillary Clinton can't keep her husband satisfied. How is she supposed to keep 350 million Americans satisfied.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",36.083381,-83.920075,2847691708,hillary clinton,democrat,-1
5.91E+17,Tue Apr 21 18:48:07 PDT 2015,Ted Cruz is currently tied with Wakka flocka at the bottom of my mental leaderboard for 2016. Can't stand either.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",35.905562,-81.151015,747964958,ted cruz,republican,-1
5.91E+17,Tue Apr 21 18:48:14 PDT 2015,Could #TPP be Hillary Clinton's next food fight? via @nationaljournal: http://t.co/p09fuAEzo2 @UFCW says #NoFastTrack http://t.co/u8ru5MhNvt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",38.748328,-82.990518,728180250,hillary clinton,democrat,-1
5.91E+17,Tue Apr 21 18:48:28 PDT 2015,Waka Flocka > Hillary Clinton 🇺🇸🗽 #PresidentialElection2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",43.467739,-80.560283,3045170236,hillary clinton,democrat,-1
5.91E+17,Tue Apr 21 18:49:23 PDT 2015,#asknacks are you voting for hilary clinton? @Nashgrier @JackJackJohnson @jackgilinsky,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",34.193248,-118.369415,1000786316,hillary clinton,democrat,0
5.91E+17,Tue Apr 21 18:51:51 PDT 2015,if we elect anyone but Hillary Clinton next year I'll be transferring to a college in Canada so let me know if you want to be my roommate,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",38.105661,-84.510156,427027704,hillary clinton,democrat,-1
5.91E+17,Tue Apr 21 18:54:07 PDT 2015,hillary clinton and waka 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",41.678399,-83.613652,1660460210,hillary clinton,democrat,0
5.91E+17,Tue Apr 21 18:55:31 PDT 2015,I mean I would definitely vote for Waka before Hillary Clinton. I'm down.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",37.115366,-93.304347,1601843712,hillary clinton,democrat,-1
5.91E+17,Tue Apr 21 18:56:36 PDT 2015,Too many people hate Hillary Clinton for her to be the president,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",42.633511,-71.913483,132058349,hillary clinton,democrat,-1
5.91E+17,Tue Apr 21 18:57:40 PDT 2015,"Today at work I learned from a man that ""the moon isn't real and Jesus is coming back to kill us after Hillary Clinton becomes president""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",42.471707,-93.565865,2209514648,hillary clinton,democrat,-1
5.91E+17,Tue Apr 21 18:58:02 PDT 2015,just saw some kid wearing a republican elephant sweatshirt & a Rand Paul sticker on his laptop. I need a reminder as to why I even go here.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",38.032834,-84.501889,251711821,rand paul,republican,-1
5.91E+17,Tue Apr 21 19:01:36 PDT 2015,Can Scott Walker at least recognize David Koch's voice by now?,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",44.527665,-89.562768,397546318,scott walker,republican,0
5.91E+17,Tue Apr 21 19:02:56 PDT 2015,lol if u voting for hillary clinton,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",34.719157,-76.657173,577660206,hillary clinton,democrat,0
5.91E+17,Tue Apr 21 19:05:38 PDT 2015,"Keema so dumb this girl said ""omg look Hillary Clinton is going against Waka Flaka"" �? really nigga !","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",40.650605,-74.187531,1081724570,hillary clinton,democrat,-1
5.91E+17,Tue Apr 21 19:13:29 PDT 2015,Hillary Clinton will make such a good president,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",43.066503,-87.994077,85133743,hillary clinton,democrat,1
5.91E+17,Tue Apr 21 19:13:35 PDT 2015,@republicandude  MANY EDUCATED FOOLS WILL VOTE FOR WALKER. JUST ANOTHER STUPID REPUBLICAN AS BOBBY JINDAL TOLD US ABOUT,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",33.555701,-117.12519,2951344404,bobby jindal,republican,-1
